"num_incomes","pan_inc_chg","pan_inc_chg_pct","pan_exp_chg","pan_exp_chg_pct","pan_fi_chg","pan_ret_date_chg","pan_financial_impact","age","fin_indy","fin_indy_num","fin_indy_pct","retire_invst_num","tgt_sf_wthdrw_rt","max_retire_sup","retire_exp","whn_fin_indy_num","fin_indy_lvl","retire_age","stp_whn_fin_indy","employer","role","ft_status","pt_status","gig_status","edu_status","housing","2020_gross_inc","2020_invst_save","political_grouped","race_eth_grouped","gender_grouped","edu_grouped","rel_status_grouped","children_grouped","country_grouped","industry_grouped","total_assets","total_debts","total_expenses"
1,"Stayed the same",0,"Decreased",0.15,"No change","No change","Neutral",26,0,3500000,12,2500000,4,20000,70000,0,NA,51,"Partially","Public corporation","Management - Middle / Lower","For an Organization (Employed)",NA,NA,"Not a student","Rent",95000,15000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Financial Services",678180,235500,80510
2,"Stayed the same",0,"Decreased",0.05,"No change","No change","Positive",31,0,1e+06,26,1250000,4,5000,50000,0,NA,36,"Partially","Public corporation","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Rent",160000,70000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Other Services",260000,10000,31500
1,"Increased",0.05,"Decreased",0.05,"No change","No change","Neutral",31,0,1e+06,8,1750000,4,NA,50000,0,NA,46,"No","Public agency","Professional (non-licensed, certified)","For an Organization (Employed)",NA,NA,"Not a student","Rent",120000,10000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Public Administration (Civilian Government)",77000,33000,88571
1,"Increased",0.45,"Decreased",0.15,"No change","Become sooner","Positive",26,0,750000,27,2e+06,4,20000,80000,0,NA,41,"No","Self-employed","Skilled Laborer / Skilled Trade","For Myself (Self-Employed)",NA,NA,"Not a student","Own",121000,50000,"Other","White / Caucasian","Male","Some College or Trade School","Singles","No Children","Other","Education",866000,632000,55280
1,"Stayed the same",0.05,"Stayed the same",0.15,"No change","Become sooner","Neutral",31,0,2800000,78,4800000,2.5,89000,80000,0,NA,46,"Undecided","Private corporation","Information Technology","For an Organization (Employed)",NA,NA,"Not a student","Live with family or friends",260000,150000,"Other","Asian or Pacific Islander","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Information Technology",4140000,2130000,110000
1,"Increased",0.05,"Decreased",0.35,"No change","No change","Neutral",26,0,1e+06,7.65,NA,3.5,NA,40000,0,NA,41,"Partially","Nonprofit corporation","Information Technology","For an Organization (Employed)",NA,NA,"Not a student","Rent",89000,0,"Other","Asian or Pacific Islander","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Information Technology",81221,0,43850
1,"Stayed the same",0,"Stayed the same",0,"No change","No change","Neutral",21,0,2500000,2,3750000,3.5,40000,150000,0,NA,51,"Undecided","Public corporation","Professional (non-licensed, certified)","For an Organization (Employed)",NA,NA,"Not a student","Rent",145000,40000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Information Technology",79000,40000,101000
2,"Decreased",0.05,"Decreased",0.15,"No change","No change","Neutral",31,0,1369000,19,1569000,3.75,35000,55000,0,NA,41,"Undecided","Public corporation","Professional (non-licensed, certified)","For an Organization (Employed)",NA,"For Myself (Self-Employed)","Not a student","Rent",181000,67000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Information Technology",588000,226000,112230
2,"Increased",0.05,"Decreased",0.05,"No change","No change","Positive",31,0,9e+05,30,1400000,4,33735,55000,0,NA,51,"Partially","Private corporation","Management - Middle / Lower","For an Organization (Employed)",NA,NA,"Not a student","Own",87557,11616,"Other","White / Caucasian","Male","Some College or Trade School","In a Relationship","Have Children","Other","Other Services",562500,33000,91770
2,"Increased",0.35,"Decreased",0.05,"No change","Become sooner","Positive",36,0,3e+06,86,5e+06,3,40000,130000,0,NA,41,"Yes","Public agency","Management - Middle / Lower","For an Organization (Employed)",NA,"For an Organization (Employed)","Not a student","Rent",7e+05,36000,"Other","White / Caucasian","Male","High School or Less","In a Relationship","No Children","Other","Public Administration (Civilian Government)",2722000,0,271953
2,"Increased",0.15,"Stayed the same",0,"No change","No change","Neutral",41,0,4e+06,50,5e+06,4,2e+05,1e+05,0,NA,56,"Partially","Private corporation","Management - Upper","For Myself (Self-Employed)",NA,NA,"Not a student","Own",1300000,3e+05,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","Have Children","Other","Professional & Business Services",3510000,660000,726900
1,"Decreased",0.05,"Stayed the same",0.05,"Increase","Become later","Neutral",36,0,1500000,50,2e+06,2,0,40000,0,NA,41,"Undecided","Private corporation","Information Technology","For an Organization (Employed)",NA,NA,"Not a student","Rent",148000,76000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Other Services",930000,0,72700
1,"Decreased",0.75,"Decreased",0.35,"No change","No change","Neutral",31,1,NA,NA,NA,NA,NA,NA,5e+05,"LeanFI",36,"Partially","Self-employed","Professional (licensed / certificated)","For an Organization (Employed)",NA,"For Myself (Self-Employed)","Not a student","Rent",65000,15000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Other Services",1015000,0,18750
1,"Increased",0.95,"Stayed the same",0,"No change","Become sooner","Positive",26,0,1e+05,20,2e+06,4,25000,40000,0,NA,31,"Partially","Private corporation","Information Technology","For an Organization (Employed)",NA,NA,"Not a student","Rent",385000,196400,"Other","White / Caucasian","Female","Bachelor's or Associate's Degree","Singles","No Children","Other","Financial Services",345000,9000,188600
1,"Decreased",0.25,"Stayed the same",0,"No change","No change","Neutral",21,0,2500000,0,4e+06,3.5,50000,120000,0,NA,51,"No","Private corporation","Professional (non-licensed, certified)",NA,NA,NA,"Student","Rent",20000,0,"Other","Asian or Pacific Islander","Male","Some College or Trade School","Singles","No Children","Other","Healthcare",7000,38000,20250
1,"Stayed the same",0,"Decreased",0.25,"No change","Become sooner","Positive",26,0,8e+05,12.5,1500000,4,0,60000,0,NA,41,"Partially","Private corporation","Professional (non-licensed, certified)","For an Organization (Employed)",NA,NA,"Not a student","Rent",1e+05,45000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Professional & Business Services",136000,18000,74000
2,"Stayed the same",0,"Decreased",0.05,"No change","Become sooner","Neutral",36,0,1250000,40,2500000,3,50000,25000,0,NA,46,"Partially","Public corporation","Management - Middle / Lower","For an Organization (Employed)",NA,NA,"Not a student","Own",4e+05,26000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship",NA,"Other","Other Services",1860000,450000,51450
1,"Stayed the same",0.05,"Decreased",0.05,"No change","No change","Neutral",26,0,2500000,50,2500000,3,0,75000,0,NA,31,"Yes","Public corporation","Consultant","For an Organization (Employed)",NA,NA,"Not a student","Live with family or friends",62500,180,"Other","White / Caucasian","Male","Doctorate or Master's Degree","Singles","No Children","Other","Other Services",1164250,38000,27117
2,"Stayed the same",0,"Decreased",0.05,"No change","No change","Positive",46,0,1500000,74,1500000,3,50000,35000,0,NA,46,"Undecided","Private corporation","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Own",235000,115600,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","No Children","Other","Professional & Business Services",1270572,154178,126219
2,"Stayed the same",0,"Decreased",0.05,"No change","No change","Positive",46,0,1500000,74,1500000,3,50000,35000,0,NA,46,"Undecided","Private corporation","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Own",235000,115600,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","No Children","Other","Professional & Business Services",1270572,154178,126219
1,"Stayed the same",0,"Stayed the same",0,"No change","No change","Neutral",21,0,2e+06,5.5,2e+06,3.5,NA,50000,0,NA,46,"Partially","Private corporation","Information Technology","For an Organization (Employed)",NA,NA,"Not a student","Rent",65000,0,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Information Technology",159060.49,40000,24052
1,"Increased",0.35,"Decreased",0.35,"No change","Become sooner","Positive",31,0,1500000,18,2e+06,3,0,60000,0,NA,41,"Undecided","Public corporation","Management - Middle / Lower","For an Organization (Employed)",NA,NA,"Not a student","Rent",160000,65000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Construction",452500,48000,76400
1,"Increased",0.15,"Decreased",0.05,"No change","Become sooner","Positive",31,0,850000,77,9e+05,4,10,35000,0,NA,46,"Partially","Private corporation","Information Technology","For an Organization (Employed)",NA,NA,"Not a student","Rent",133000,43000,"Other","White / Caucasian","Male","Doctorate or Master's Degree","Singles","No Children","Other","Financial Services",633000,8000,63788
1,"Stayed the same",0,"Stayed the same",0,"No change","No change","Neutral",26,0,1900000,20,1900000,2.5,21000,70000,0,NA,41,"Partially","Private corporation","Management - Upper","For an Organization (Employed)",NA,NA,"Not a student","Own",185000,5500,"Other","White / Caucasian","Female","Doctorate or Master's Degree","Singles","No Children","Other","Information Technology",1245000,830000,91159
1,"Decreased",0.55,"Increased",0.25,"No change","Become sooner","Positive",51,0,2e+06,80,2e+06,1,20000,75000,0,NA,51,"Undecided","Nonprofit corporation","Management - Middle / Lower",NA,NA,NA,"Not a student","Rent",0,0,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Information Technology",1800000,0,0
2,"Stayed the same",0,"Decreased",0.25,"Increase","Become sooner","Positive",46,0,2500000,100,3e+06,4,40000,80000,0,NA,46,"Undecided","Private corporation","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Own",245000,50000,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","No Children","Other","Other Services",3450000,350000,106000
2,"Increased",0.05,"Stayed the same",0,"No change","No change","Positive",31,0,3500000,12,5e+06,3.5,1e+05,20000,0,NA,56,"Partially","Public corporation","Program Staff","For an Organization (Employed)",NA,NA,"Not a student","Rent",190000,70000,"Other","Asian or Pacific Islander","Male","Doctorate or Master's Degree","In a Relationship","No Children","Other","Professional & Business Services",865000,410000,122004
2,"Increased",0.05,"Decreased",0.15,"No change","Become sooner","Positive",41,0,3e+06,20,3e+06,4,150000,150000,0,NA,56,"Yes","Nonprofit corporation","Management - Middle / Lower","For an Organization (Employed)",NA,NA,"Not a student","Own",360000,0,"Other","White / Caucasian","Male","Doctorate or Master's Degree","In a Relationship","Have Children","Other","Information Technology",2500000,1460000,210200
1,"Increased",0.25,"Stayed the same",0,"No change","Become sooner","Positive",26,0,1300000,9,1300000,3,0,40000,0,NA,51,"Undecided","Private corporation","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Rent",96000,28000,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","Singles","No Children","Other","Manufacturing",120000,0,41804
1,"Stayed the same",0,"Decreased",0.15,"No change","No change","Positive",26,0,1e+06,30,1500000,3,0,45000,0,NA,31,"Undecided","Public corporation","Professional (non-licensed, certified)","For an Organization (Employed)",NA,NA,"Not a student","Rent",235000,96750,"Other","White / Caucasian","Male","Bachelor's or Associate's Degree","In a Relationship","No Children","Other","Financial Services",310000,0,138250
1,"Stayed the same",0,"Stayed the same",0,"No change","No change","Neutral",31,0,1e+06,30,1500000,4,50000,60000,0,NA,46,"Partially","Public agency","Professional (licensed / certificated)","For an Organization (Employed)",NA,NA,"Not a student","Rent",1e+05,63630,"Other","White / Caucasian","Female","Doctorate or Master's Degree","In a Relationship","No Children","Other","Education",494000,0,59200
