"host_total_listings_count","host_has_profile_pic","host_identity_verified","accommodates","bedrooms","beds","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_days_since_joining","host_response_time_category","host_response_rate_percentage","host_acceptance_rate_percentage","host_is_superhost_filled","neighbourhood_grouped","dist_to_dt","property_type_grouped","entire_home_apt","bathrooms_numeric","security","essentials","kitchen_amenities","entertainment","bedroom_amenities","work","parking","toiletries","climate_control","convenience_features","price_numeric"
3,TRUE,TRUE,2,1,1,30,365,30,30,1125,1125,30,1125,TRUE,1,14,44,319,92,2,0,4.51,4.56,4.7,4.85,4.8,4.84,4.49,FALSE,2,2,0,0,0.64,4567,"within an hour",1,0.82,TRUE,"Asheville",0.671613540522833,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,100
2,TRUE,TRUE,3,2,1,1,1125,1,1,1125,1125,1,1125,TRUE,13,28,58,311,312,29,2,4.87,4.94,4.91,4.98,4.97,4.88,4.85,TRUE,2,2,0,0,3.12,3221,"within an hour",1,1,TRUE,"Asheville",1.07577757474407,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,114
3,TRUE,TRUE,4,1,2,1,60,1,1,1125,1125,1,1125,TRUE,7,12,23,261,530,90,7,4.77,4.87,4.82,4.94,4.94,4.89,4.89,FALSE,2,2,0,0,5.54,3735,"within an hour",1,0.99,TRUE,"Asheville",1.78324854749,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,41
4,TRUE,TRUE,2,2,2,30,1125,30,30,1125,1125,30,1125,TRUE,1,31,33,115,76,3,0,4.79,4.81,4.96,4.97,4.99,4.62,4.69,FALSE,2,2,0,0,0.73,3277,"within a few hours",1,1,FALSE,"Asheville",0.660808214522776,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,200
3,TRUE,TRUE,2,1,1,90,1125,90,90,1125,1125,90,1125,TRUE,30,60,90,243,160,2,0,4.94,4.85,4.99,4.99,5,4.83,4.92,FALSE,1,1,0,0,1.55,3302,"within an hour",1,1,TRUE,"Asheville",3.56227117264455,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,75
5,TRUE,TRUE,2,1,1,30,120,2,30,60,1125,23.6,881.6,TRUE,5,5,5,5,504,13,2,4.94,4.94,4.97,4.99,4.98,4.87,4.91,FALSE,2,2,0,0,4.89,3942,"within an hour",1,0.99,TRUE,"Asheville",1.98887045738052,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,77
7,TRUE,TRUE,2,NA,1,30,1125,30,30,1125,1125,30,1125,TRUE,8,38,68,343,2,0,0,4.5,3.5,4,5,5,4.5,4,FALSE,4,1,3,0,0.02,4404,"within a few hours",1,0.92,FALSE,"Asheville",3.06577820184827,"Entire Place",TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,45
2,TRUE,TRUE,8,3,6,2,1125,2,2,1125,1125,2,1125,TRUE,10,20,43,295,155,10,0,4.95,4.95,4.96,4.99,4.97,4.8,4.86,FALSE,2,2,0,0,1.56,3105,"within an hour",1,1,TRUE,"Fletcher",11.568041208599,"Entire Place",TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,210
2,TRUE,TRUE,4,1,2,2,1125,1,4,1125,1125,2.7,1125,TRUE,0,3,18,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2,0,0,NA,3102,"within an hour",1,0.91,FALSE,"Others",2.4649238244735,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,222
1,TRUE,TRUE,2,NA,1,2,1125,2,2,1125,1125,2,1125,TRUE,10,16,24,43,164,17,0,4.94,4.92,4.91,4.96,4.96,4.92,4.82,FALSE,1,1,0,0,2.14,3347,"within an hour",1,1,TRUE,"Asheville",1.55146426646767,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,124
1,TRUE,TRUE,5,1,1,2,65,2,2,1125,1125,2,1125,TRUE,14,25,49,297,665,52,6,4.93,4.95,4.95,4.98,4.98,4.94,4.94,TRUE,1,1,0,0,6.53,3780,"within an hour",1,0.98,TRUE,"Asheville",2.00086205643494,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,94
1,TRUE,TRUE,2,1,1,30,1125,30,30,1125,1125,30,1125,TRUE,0,16,46,46,63,0,0,4.94,4.98,4.95,4.98,5,4.92,4.9,FALSE,1,1,0,0,0.63,3092,"a few days or more",0,0.75,FALSE,"Asheville",2.64903539961316,"Entire Place",TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,93
4,TRUE,TRUE,6,3,4,3,1125,3,3,1125,1125,3,1125,TRUE,12,32,58,302,266,46,2,4.8,4.88,4.76,4.95,4.91,4.96,4.73,FALSE,1,1,0,0,2.6,3084,"within a day",1,0.74,TRUE,"Others",2.69020472742375,"Entire Place",TRUE,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,225
